Year,Team,Player,Salary,Percent_team_salary
1992.0,BRK,Chris Dudley,1200000.0,0.07355645457888929
1992.0,BRK,Jayson Williams,800000.0,0.049037636385926196
1992.0,BRK,Tate George,551000.0,0.03377467206080667
1992.0,BRK,Rafael Addison,522000.0,0.031997057741816846
1992.0,BRK,Rick Mahorn,500000.0,0.030648522741203874
1992.0,BRK,Chucky Brown,140000.0,0.008581586367537085
1992.0,BRK,Dan O'Sullivan,140000.0,0.008581586367537085
1992.0,BRK,Dwayne Schintzius,140000.0,0.008581586367537085
1992.0,BRK,Doug Lee,125000.0,0.007662130685300968
1993.0,BRK,Benoit Benjamin,3575000.0,0.17779877654548168
1993.0,BRK,Derrick Coleman,3440000.0,0.17108469687173622
1993.0,BRK,Kenny Anderson,2925000.0,0.145471726264485
1993.0,BRK,Chris Morris,1785000.0,0.08877505346396777
1993.0,BRK,Johnny Newman,1435000.0,0.07136818023573879
1993.0,BRK,Armen Gilliam,1200000.0,0.05968070821107077
1993.0,BRK,Kevin Edwards,1200000.0,0.05968070821107077
1993.0,BRK,Jayson Williams,950000.0,0.04724722733376436
1993.0,BRK,Dwayne Schintzius,921000.0,0.04580494355199682
1993.0,BRK,Rex Walters,650000.0,0.032327050280996666
1993.0,BRK,Rick Mahorn,650000.0,0.032327050280996666
1993.0,BRK,Tate George,626000.0,0.031133436116775253
1993.0,BRK,PJ Brown,600000.0,0.029840354105535385
1993.0,BRK,David Wesley,150000.0,0.007460088526383846
1994.0,BRK,Derrick Coleman,4212000.0,0.1821657483413921
1994.0,BRK,Benoit Benjamin,3774600.0,0.16324853601363215
1994.0,BRK,Kenny Anderson,3463200.0,0.1497807264140335
1994.0,BRK,Chris Morris,2060000.0,0.08909340968263717
1994.0,BRK,Kevin Edwards,1560000.0,0.06746879568199708
1994.0,BRK,Armen Gilliam,1560000.0,0.06746879568199708
1994.0,BRK,Dwayne Schintzius,1197000.0,0.051769325917532374
1994.0,BRK,Jayson Williams,1100000.0,0.04757415080140819
1994.0,BRK,Yinka Dare,920000.0,0.039789289761177765
1994.0,BRK,Rex Walters,845000.0,0.03654559766108175
1994.0,BRK,Rick Mahorn,800000.0,0.03459938240102414
1994.0,BRK,PJ Brown,780000.0,0.03373439784099854
1994.0,BRK,Sean Higgins,500000.0,0.02162461400064009
1994.0,BRK,Chris Childs,150000.0,0.006487384200192027
1994.0,BRK,Sleepy Floyd,150000.0,0.006487384200192027
1994.0,BRK,Ryan Lorthridge,50000.0,0.002162461400064009
1995.0,BRK,Shawn Bradley,4320000.0,0.1913197519929141
1995.0,BRK,Kenny Anderson,3898000.0,0.17263064658990257
1995.0,BRK,Jayson Williams,2000000.0,0.08857395925597875
1995.0,BRK,Tim Perry,1950000.0,0.08635961027457928
1995.0,BRK,Kevin Edwards,1920000.0,0.08503100088573959
1995.0,BRK,Armen Gilliam,1920000.0,0.08503100088573959
1995.0,BRK,Yinka Dare,1184000.0,0.05243578387953941
1995.0,BRK,Ed O'Bannon,1133000.0,0.05017714791851196
1995.0,BRK,Greg Graham,1120000.0,0.049601417183348095
1995.0,BRK,PJ Brown,960000.0,0.042515500442869794
1995.0,BRK,Vern Fleming,700000.0,0.03100088573959256
1995.0,BRK,Gerald Glass,475000.0,0.02103631532329495
1995.0,BRK,Rick Mahorn,400000.0,0.01771479185119575
1995.0,BRK,Chris Childs,350000.0,0.01550044286979628
1995.0,BRK,Robert Werdann,225000.0,0.009964570416297608
1995.0,BRK,Grady Livingston,25000.0,0.0011071744906997344
1991.0,CHI,Michael Jordan,3250000.0,0.19311902073801177
1991.0,CHI,Scottie Pippen,2770000.0,0.1645968269059362
1991.0,CHI,Bill Cartwright,2000000.0,0.11884247430031493
