,date,teams,players
88,"November 19, 1993","{'DEN', 'DET'}","{'Mark Macon', 'Marcus Liberty', 'Alvin Robertson'}"
89,"December 10, 1993","{'NJN', 'CHH'}","{'Johnny Newman', 'Rumeal Robinson'}"
90,"January 6, 1994","{'DAL', 'NYK'}","{'Derek Harper', 'Tony Campbell'}"
91,"January 15, 1994","{'MIL', 'ORL'}","{'Anthony Avent', 'Anthony Cook'}"
92,"February 20, 1994","{'DET', 'SAC'}","{'Pete Chilcutt', 'Olden Polynice'}"
93,"February 23, 1994","{'MIN', 'CHI'}","{'Stacey King', 'Luc Longley'}"
94,"February 24, 1994","{'MIL', 'CHH'}","{'Mike Gminski', 'Frank Brickowski'}"
95,"February 24, 1994","{'PHI', 'UTA'}","{'Sean Green', 'Jeff Malone', 'Jeff Hornacek'}"
96,"February 24, 1994","{'LAC', 'ATL'}","{'Dominique Wilkins', 'Danny Manning'}"
97,"June 22, 1994","{'MIL', 'ATL'}","{'Ken Norman', 'Roy Hinson'}"
98,"June 29, 1994","{'MIN', 'SEA'}",{'Å½eljko RebraÄ\x8da'}
99,"June 29, 1994","{'MIL', 'BOS'}","{'Blue Edwards', 'Ed Pinckney', 'Andrei Fetisov', 'Derek Strong'}"
100,"June 30, 1994","{'LAC', 'IND'}","{'Eric Piatkowski', 'Greg Minor', 'Pooh Richardson', 'Mark Jackson', 'Malik Sealy'}"
101,"July 1, 1994","{'GSW', 'LAL'}",{'Anthony Miller'}
102,"July 18, 1994","{'GSW', 'SEA'}","{'Ricky Pierce', 'Byron Houston', 'Carlos Rogers', 'Å\xa0arÅ«nas MarÄ\x8diulionis'}"
103,"July 19, 1994","{'SAS', 'DET'}","{'Sean Elliott', 'Bill Curley'}"
104,"July 25, 1994","{'DET', 'PHI'}",{'Eric Leckner'}
105,"July 29, 1994","{'WSB', 'ORL'}",{'Scott Skiles'}
106,"August 1, 1994","{'PHO', 'DET'}",{'Mark West'}
107,"August 2, 1994","{'CHH', 'WSB'}",{'Michael Adams'}
108,"September 16, 1994","{'UTA', 'ATL'}","{'Adam Keefe', 'Tyrone Corbin'}"
109,"September 23, 1994","{'PHO', 'LAL'}",{'Cedric Ceballos'}
110,"October 13, 1994","{'LAL', 'NYK'}",{'Doug Christie'}
111,"November 1, 1994","{'MIN', 'DAL'}",{'Sean Rooks'}
112,"November 2, 1994","{'GSW', 'MIA'}","{'Rony Seikaly', 'Sasha DaniloviÄ\x87', 'Billy Owens'}"
113,"November 7, 1994","{'MIA', 'ATL'}","{'Kevin Willis', 'Grant Long', 'Steve Smith'}"
114,"November 17, 1994","{'GSW', 'WSB'}","{'Chris Webber', 'Tom Gugliotta'}"
115,"February 3, 1995","{'BOS', 'UTA'}","{'Blue Edwards', 'Jay Humphries'}"
116,"February 14, 1995","{'POR', 'HOU'}","{'Tracy Murray', 'Marcelo Nicola', 'Clyde Drexler', 'Otis Thorpe'}"
117,"February 18, 1995","{'GSW', 'MIN'}","{'Tom Gugliotta', 'Donyell Marshall'}"
118,"February 23, 1995","{'DAL', 'HOU'}","{'Scott Brooks', 'Morlon Wiley'}"
119,"June 14, 1995","{'MIA', 'CLE'}",{'Harold Miner'}
120,"June 24, 1995",{'ORL'},set()
121,"June 27, 1995","{'CHH', 'SEA'}","{'Hersey Hawkins', 'David Wingate', 'Kendall Gill'}"
122,"June 28, 1995","{'DET', 'POR'}",set()
123,"June 28, 1995","{'MIA', 'WSB'}","{'Jeff Webster', 'Rex Chapman', 'Terrence Rencher', 'Ed Stokes'}"
124,"June 28, 1995","{'DEN', 'LAC'}","{'Randy Woods', 'Antonio McDyess', 'Brent Barry', 'Rodney Rogers'}"
125,"June 28, 1995","{'MIL', 'POR'}","{'Shawn Respert', 'Gary Trent'}"
126,"June 28, 1995","{'MIL', 'SEA'}","{'Eric Snow', 'Eurelijus Å½ukauskas'}"
127,"June 29, 1995","{'SAC', 'ATL'}","{'Spud Webb', 'Tyrone Corbin'}"
128,"September 1, 1995","{'MIA', 'NYK'}",{'Pat Riley'}
129,"September 18, 1995","{'GSW', 'TOR'}","{'Martin Lewis', 'Carlos Rogers', 'Victor Alexander', 'Michael McDonald', 'Dwayne Whitfield', 'B.J. Armstrong'}"
130,"September 18, 1995","{'SEA', 'SAC'}","{'Byron Houston', 'Frank Brickowski', 'Å\xa0arÅ«nas MarÄ\x8diulionis'}"
131,"September 19, 1995","{'DEN', 'LAC'}","{'Elmore Spencer', 'Bison Dele'}"
132,"September 20, 1995","{'DET', 'POR'}","{'Randolph Childress', 'Bill Curley', 'Otis Thorpe'}"
133,"September 27, 1995","{'WSB', 'CLE'}",{'Mark Price'}
134,"October 2, 1995","{'SAS', 'CHI'}","{'Will Perdue', 'Dennis Rodman'}"
135,"October 7, 1995","{'PHO', 'CLE'}","{'Dan Majerle', 'Hot Rod Williams', 'Antonio Lang'}"
136,"October 18, 1995","{'MIL', 'WSB'}","{'Bob McCann', 'Kevin Duckworth'}"
137,"October 30, 1995","{'DEN', 'WSB'}","{'Don MacLean', 'Doug Overton', 'Robert Pack'}"
138,"November 1, 1995","{'VAN', 'ORL'}","{'Anthony Avent', 'Kevin Pritchard', 'Larry Stewart'}"
139,"November 3, 1995","{'CHH', 'MIA'}","{'Alonzo Mourning', 'Khalid Reeves', 'Glen Rice', 'Pete Myers', 'LeRon Ellis', 'Matt Geiger'}"
140,"November 26, 1995","{'MIL', 'BOS'}","{'Todd Day', 'Sherman Douglas', 'Alton Lister'}"
141,"November 27, 1995","{'MIL', 'VAN'}","{'Benoit Benjamin', 'Eric Murdock', 'Eric Mobley'}"
142,"November 30, 1995","{'NJN', 'PHI'}","{'Derrick Coleman', 'Shawn Bradley', 'Sean Higgins', 'Greg Graham', 'Tim Perry', 'Rex Walters'}"
143,"January 12, 1996","{'MIN', 'VAN'}",{'Darrick Martin'}
144,"January 19, 1996","{'NJN', 'CHH'}","{'Gerald Glass', 'Kenny Anderson', 'Khalid Reeves', 'Kendall Gill'}"
145,"February 8, 1996","{'SAS', 'NYK'}","{'Monty Williams', 'J.R. Reid', 'Charles Smith', 'Brad Lohaus'}"
146,"February 18, 1996","{'TOR', 'NYK'}","{'Victor Alexander', 'Willie Anderson', 'Doug Christie', 'Herb Williams'}"
147,"February 22, 1996","{'GSW', 'MIA'}","{'Kevin Willis', 'Bimbo Coles', 'Tim Hardaway', 'Chris Gatling'}"
148,"February 22, 1996","{'MIA', 'SAC'}","{'Walt Williams', 'Kevin Gamble', 'Billy Owens', 'Tyrone Corbin'}"
149,"February 22, 1996","{'MIN', 'ATL'}","{'Spud Webb', 'Christian Laettner', 'Andrew Lang', 'Sean Rooks'}"
150,"February 22, 1996","{'TOR', 'PHI'}","{'Tony Massenburg', 'Ed Pinckney', 'Sharone Wright'}"
151,"February 22, 1996","{'PHO', 'MIA'}","{'Terrence Rencher', 'Tony Smith'}"
152,"February 22, 1996","{'VAN', 'ORL'}","{'Kenny Gattison', 'Jeff Turner'}"
153,"June 13, 1996","{'DEN', 'SAC'}","{'Mahmoud Abdul-Rauf', 'Å\xa0arÅ«nas MarÄ\x8diulionis'}"
