,player,team_from,date
66,David Wear,SAC,"October 19, 2014"
67,Keith Appling,LAL,"October 20, 2014"
68,Josh Bostic,DET,"October 20, 2014"
69,Lorenzo Brown,DET,"October 20, 2014"
70,Brian Cook,DET,"October 20, 2014"
71,Kyrylo Fesenko,MIN,"October 20, 2014"
72,Hasheem Thabeet,DET,"October 20, 2014"
73,Jeremy Tyler,LAL,"October 20, 2014"
74,Jarell Eddie,ATL,"October 21, 2014"
75,Eric Griffin,DAL,"October 21, 2014"
76,Rodney McGruder,BOS,"October 21, 2014"
77,Erik Murphy,BOS,"October 21, 2014"
78,Dexter Pittman,ATL,"October 21, 2014"
79,Yuki Togashi,DAL,"October 21, 2014"
80,Christian Watford,BOS,"October 21, 2014"
81,Jerrelle Benimon,DEN,"October 22, 2014"
82,Earl Clark,MEM,"October 22, 2014"
83,Jack Cooley,UTA,"October 22, 2014"
84,Dahntay Jones,UTA,"October 22, 2014"
85,Hassan Whiteside,MEM,"October 22, 2014"
86,Marcus Williams,DEN,"October 22, 2014"
87,Akil Mitchell,HOU,"October 23, 2014"
88,Bryce Cotton,SAS,"October 23, 2014"
89,Josh Davis,SAS,"October 23, 2014"
90,Tim Frazier,BOS,"October 23, 2014"
91,Willie Reed,BRK,"October 23, 2014"
92,Josh Powell,HOU,"October 24, 2014"
93,Tre Bussey,UTA,"October 24, 2014"
94,Justin Cobbs,CHO,"October 24, 2014"
95,Michael Jenkins,OKC,"October 24, 2014"
96,Kevin Jones,NOP,"October 24, 2014"
97,Dallas Lauderdale,CHO,"October 24, 2014"
98,D.J. Mbenga,NYK,"October 24, 2014"
99,Brian Qvale,CHO,"October 24, 2014"
100,Orlando SÃ¡nchez,NYK,"October 24, 2014"
101,Richard Solomon,OKC,"October 24, 2014"
102,D.J. Stephens,NOP,"October 24, 2014"
103,Talib Zanna,OKC,"October 24, 2014"
104,Akeem Richmond,HOU,"October 25, 2014"
105,Geron Johnson,HOU,"October 25, 2014"
106,Robert Vaden,SAS,"October 25, 2014"
107,JaMychal Green,SAS,"October 25, 2014"
108,Fuquan Edwin,SAS,"October 25, 2014"
109,Jordan Vandenberg,NYK,"October 25, 2014"
110,John Lucas III,WAS,"October 25, 2014"
111,Earl Barron,PHO,"October 25, 2014"
112,Kadeem Batts,ORL,"October 25, 2014"
113,Khem Birch,MIA,"October 25, 2014"
114,Jabari Brown,LAL,"October 25, 2014"
115,Will Cherry,TOR,"October 25, 2014"
116,Patrick Christopher,MEM,"October 25, 2014"
117,Aaron Craft,GSW,"October 25, 2014"
118,Drew Crawford,ORL,"October 25, 2014"
119,Seth Curry,ORL,"October 25, 2014"
120,Larry Drew II,MIA,"October 25, 2014"
121,Jarell Eddie,BOS,"October 25, 2014"
122,Shane Edwards,CLE,"October 25, 2014"
123,C.J. Fair,IND,"October 25, 2014"
124,Langston Galloway,NYK,"October 25, 2014"
125,Diante Garrett,POR,"October 25, 2014"
126,Drew Gordon,PHI,"October 25, 2014"
127,Jordan Hamilton,TOR,"October 25, 2014"
128,Brady Heslip,MIN,"October 25, 2014"
129,Joe Ingles,LAC,"October 25, 2014"
130,Bernard James,DAL,"October 25, 2014"
131,Damion James,WAS,"October 25, 2014"
132,Ivan Johnson,DAL,"October 25, 2014"
133,Trey Johnson,SAC,"October 25, 2014"
134,Tyler Johnson,MIA,"October 25, 2014"
135,Shawn Jones,MIA,"October 25, 2014"
136,Jason Kapono,GSW,"October 25, 2014"
137,Sean Kilpatrick,GSW,"October 25, 2014"
138,Doron Lamb,DAL,"October 25, 2014"
139,Malcolm Lee,PHI,"October 25, 2014"
140,Kalin Lucas,MEM,"October 25, 2014"
141,James Michael McAdoo,GSW,"October 25, 2014"
142,Darius Morris,POR,"October 25, 2014"
143,Brock Motum,UTA,"October 25, 2014"
144,Ronald Roberts,PHI,"October 25, 2014"
145,Xavier Silas,WAS,"October 25, 2014"
146,Chris Singleton,IND,"October 25, 2014"
147,Peyton Siva,ORL,"October 25, 2014"
148,Roscoe Smith,LAL,"October 25, 2014"
149,Adonis Thomas,IND,"October 25, 2014"
150,Casper Ware,BRK,"October 25, 2014"
151,Mitchell Watt,GSW,"October 25, 2014"
152,Aaron Gray,DET,"October 26, 2014"
153,Jeff Adrien,HOU,"October 27, 2014"
154,Earl Clark,HOU,"October 27, 2014"
155,Robert Covington,HOU,"October 27, 2014"
156,Ish Smith,HOU,"October 27, 2014"
157,J.J. Barea,MIN,"October 27, 2014"
158,Will Bynum,BOS,"October 27, 2014"
159,Carrick Felix,UTA,"October 27, 2014"
160,Quincy Miller,DEN,"October 27, 2014"
161,Arnett Moultrie,NYK,"October 27, 2014"
162,Marquis Teague,PHI,"October 27, 2014"
163,Travis Outlaw,PHI,"October 27, 2014"
164,Elliot Williams,PHI,"October 27, 2014"
165,Gal Mekel,DAL,"October 29, 2014"
166,A.J. Price,CLE,"November 1, 2014"
167,Jordan Hamilton,UTA,"November 6, 2014"
168,Kalin Lucas,MEM,"November 9, 2014"
169,Malcolm Thomas,PHI,"November 10, 2014"
170,Nemanja NedoviÄ,GSW,"November 11, 2014"
171,Chris Johnson,PHI,"November 15, 2014"
172,Kalin Lucas,MEM,"November 20, 2014"
173,Hassan Whiteside,MEM,"November 20, 2014"
174,Shannon Brown,MIA,"November 24, 2014"
175,Sebastian Telfair,OKC,"November 26, 2014"
176,A.J. Price,IND,"November 28, 2014"
177,Patric Young,NOP,"November 30, 2014"
178,Darius Miller,NOP,"November 30, 2014"
179,Will Cherry,CLE,"November 30, 2014"
180,Drew Gordon,PHI,"December 5, 2014"
181,Malcolm Lee,PHI,"December 11, 2014"
182,Jorge GutiÃ©rrez,PHI,"December 12, 2014"
183,Ronald Roberts,PHI,"December 15, 2014"
184,VÃ­tor Luiz Faverani,BOS,"December 18, 2014"
185,Gal Mekel,NOP,"December 19, 2014"
186,Francisco GarcÃ­a,HOU,"December 19, 2014"
187,Josh Smith,DET,"December 22, 2014"
188,Ronny Turiaf,PHI,"December 23, 2014"
189,Tarik Black,HOU,"December 26, 2014"
190,Xavier Henry,LAL,"December 28, 2014"
191,Toure' Murry,UTA,"January 4, 2015"
192,Samuel Dalembert,NYK,"January 5, 2015"
193,Andre Dawkins,MIA,"January 6, 2015"
194,Brandon Davies,BRK,"January 6, 2015"
195,Patrick Christopher,UTA,"January 7, 2015"
196,Jeff Adrien,MIN,"January 7, 2015"
197,Alex Kirk,NYK,"January 7, 2015"
198,Lance Thomas,NYK,"January 7, 2015"
199,A.J. Price,CLE,"January 7, 2015"
200,Glen Rice Jr.,WAS,"January 7, 2015"
201,Lou Amundson,NYK,"January 7, 2015"
202,Jared Cunningham,PHI,"January 7, 2015"
203,Tony Mitchell,PHO,"January 9, 2015"
204,Nate Wolters,MIL,"January 9, 2015"
205,Nate Robinson,BOS,"January 15, 2015"
206,Jordan Farmar,LAC,"January 16, 2015"
207,Austin Daye,SAS,"January 17, 2015"
208,Chris Douglas-Roberts,BOS,"January 18, 2015"
209,Jannero Pargo,CHO,"February 4, 2015"
210,Amar'e Stoudemire,NYK,"February 16, 2015"
211,Ricky Ledo,DAL,"February 18, 2015"
212,Kenyon Martin,MIL,"February 19, 2015"
213,Ish Smith,NOP,"February 19, 2015"
214,Kendall Marshall,PHO,"February 21, 2015"
215,Kendrick Perkins,UTA,"February 21, 2015"
216,Larry Sanders,MIL,"February 21, 2015"
217,Malcolm Thomas,PHI,"February 21, 2015"
218,Andrei Kirilenko,PHI,"February 21, 2015"
219,John Salmons,PHO,"February 21, 2015"
220,Victor Claver,DEN,"February 22, 2015"
221,Thomas Robinson,DEN,"February 22, 2015"
222,Shawne Williams,NOP,"February 22, 2015"
223,JaVale McGee,PHI,"March 1, 2015"
224,Justin Hamilton,NOP,"March 3, 2015"
225,Glenn Robinson III,MIN,"March 5, 2015"
226,Ian Clark,UTA,"March 26, 2015"
227,Steve Nash,LAL,"April 1, 2015"
228,Shavlik Randolph,BOS,"April 6, 2015"
229,Shavlik Randolph,DEN,"April 12, 2015"
230,Ben Gordon,ORL,"June 29, 2015"
231,Darius Morris,BRK,"June 29, 2015"
232,Caron Butler,MIL,"June 30, 2015"
233,Shawne Williams,MIL,"June 30, 2015"
234,Jamaal Franklin,DEN,"July 12, 2015"
235,Cory Jefferson,BRK,"July 13, 2015"
236,Earl Clark,BRK,"August 10, 2015"
