,player,team_from,date
63,Matt Costello,ATL,"October 17, 2016"
64,Keith Benson,MIA,"October 18, 2016"
65,Chase Budinger,BRK,"October 18, 2016"
66,Jorge GutiÃ©rrez,BRK,"October 18, 2016"
67,Beau Beech,BRK,"October 18, 2016"
68,Egidijus MockeviÄius,BRK,"October 18, 2016"
69,Ryan Kelly,ATL,"October 19, 2016"
70,Reggie Williams,OKC,"October 19, 2016"
71,Lamar Patterson,SAC,"October 19, 2016"
72,Andrew Andrews,CHO,"October 20, 2016"
73,Henry Sims,UTA,"October 20, 2016"
74,Vince Hunter,MEM,"October 20, 2016"
75,Chris Crawford,MEM,"October 20, 2016"
76,Jarrett Jack,ATL,"October 20, 2016"
77,Marcus Georges-Hunt,BOS,"October 20, 2016"
78,Damion Lee,BOS,"October 20, 2016"
79,Jalen Jones,BOS,"October 20, 2016"
80,Elliot Williams,GSW,"October 20, 2016"
81,Phil Pressey,GSW,"October 20, 2016"
82,Cameron Jones,GSW,"October 20, 2016"
83,Markel Brown,CLE,"October 20, 2016"
84,Cory Jefferson,CLE,"October 20, 2016"
85,Jonathan Holmes,CLE,"October 20, 2016"
86,Will Bynum,ATL,"October 21, 2016"
87,J.J. Avila,CHI,"October 21, 2016"
88,D'Vauntes Smith-Rivera,CHI,"October 21, 2016"
89,Thomas Walkup,CHI,"October 21, 2016"
90,Ben Bentil,BOS,"October 21, 2016"
91,Yogi Ferrell,BRK,"October 21, 2016"
92,Chasson Randle,NYK,"October 21, 2016"
93,Shawn Dawson,NOP,"October 21, 2016"
94,Robert Sacre,NOP,"October 21, 2016"
95,J.P. Tokoto,NYK,"October 21, 2016"
96,Lou Amundson,NYK,"October 21, 2016"
97,Damien Inglis,NYK,"October 21, 2016"
98,Cleanthony Early,NYK,"October 21, 2016"
99,Spencer Dinwiddie,CHI,"October 21, 2016"
100,Ryan Arcidiacono,SAS,"October 21, 2016"
101,Jarell Eddie,WAS,"October 21, 2016"
102,Johnny O'Bryant,WAS,"October 21, 2016"
103,Casper Ware,WAS,"October 21, 2016"
104,Kellen Dunham,MEM,"October 21, 2016"
105,Grant Jerrett,POR,"October 22, 2016"
106,Greg Stiemsma,POR,"October 22, 2016"
107,Quinn Cook,NOP,"October 22, 2016"
108,Quincy Ford,NOP,"October 22, 2016"
109,Rasheed Sulaimon,CHO,"October 22, 2016"
110,Mike Tobey,CHO,"October 22, 2016"
111,Perry Ellis,CHO,"October 22, 2016"
112,Jonathan Gibson,DAL,"October 22, 2016"
113,Kyle Collinsworth,DAL,"October 22, 2016"
114,Keith Hornsby,DAL,"October 22, 2016"
115,Jaleel Cousins,DAL,"October 22, 2016"
116,C.J. Williams,DAL,"October 22, 2016"
117,Jordan Adams,MEM,"October 22, 2016"
118,D.J. Stephens,MEM,"October 22, 2016"
119,Wayne Selden,MEM,"October 22, 2016"
120,JaKarr Sampson,MEM,"October 22, 2016"
121,John Holland,CLE,"October 22, 2016"
122,Ryan Kelly,BOS,"October 22, 2016"
123,Briante Weber,MIA,"October 22, 2016"
124,Beno Udrih,MIA,"October 22, 2016"
125,Okaro White,MIA,"October 22, 2016"
126,Luis Montero,MIA,"October 22, 2016"
127,Vashil Fernandez,MIA,"October 22, 2016"
128,Mamadou N'Diaye,DET,"October 22, 2016"
129,Lorenzo Brown,DET,"October 22, 2016"
130,Trey Freeman,DET,"October 22, 2016"
131,Drew Crawford,TOR,"October 22, 2016"
132,Brady Heslip,TOR,"October 22, 2016"
133,E.J. Singler,TOR,"October 22, 2016"
134,Jarrod Uthoff,TOR,"October 22, 2016"
135,Yanick Moreira,TOR,"October 22, 2016"
136,Nick Johnson,ORL,"October 22, 2016"
137,Ramon Galloway,ORL,"October 22, 2016"
138,Chris Johnson,UTA,"October 22, 2016"
139,Rasual Butler,MIN,"October 22, 2016"
140,Toure' Murry,MIN,"October 22, 2016"
141,Robbie Hummel,DEN,"October 22, 2016"
142,Nate Wolters,DEN,"October 22, 2016"
143,Livio Jean-Charles,SAS,"October 22, 2016"
144,Patricio Garino,SAS,"October 22, 2016"
145,Joel Anthony,SAS,"October 22, 2016"
146,Jaleel Roberts,MIL,"October 22, 2016"
147,J.J. O'Brien,MIL,"October 22, 2016"
148,Orlando Johnson,MIL,"October 22, 2016"
149,Josh Magette,ATL,"October 22, 2016"
150,Chris Obekpa,GSW,"October 22, 2016"
151,Jeremy Evans,IND,"October 23, 2016"
152,Julyan Stone,IND,"October 23, 2016"
153,Elton Brand,PHI,"October 23, 2016"
154,R.J. Hunter,BOS,"October 24, 2016"
155,Gary Payton II,HOU,"October 24, 2016"
156,P.J. Hairston,HOU,"October 24, 2016"
157,Alonzo Gee,NOP,"October 24, 2016"
158,Yi Jianlian,LAL,"October 24, 2016"
159,Le'Bryan Nash,HOU,"October 24, 2016"
160,Ben Bentil,IND,"October 24, 2016"
161,Mitch McGary,OKC,"October 24, 2016"
162,Ronnie Price,OKC,"October 24, 2016"
163,Chris Wright,OKC,"October 24, 2016"
164,Kaleb Tarczewski,OKC,"October 24, 2016"
165,Anthony Brown,LAL,"October 24, 2016"
166,Archie Goodwin,PHO,"October 24, 2016"
167,Brandon Paul,PHI,"October 24, 2016"
168,James Webb III,PHI,"October 24, 2016"
169,Cat Barber,PHI,"October 24, 2016"
170,Shawn Long,PHI,"October 24, 2016"
171,Dionte Christmas,PHI,"October 24, 2016"
172,Pablo Prigioni,HOU,"October 24, 2016"
173,Dahntay Jones,CLE,"October 24, 2016"
174,Jordan Farmar,SAC,"October 24, 2016"
175,Isaiah Cousins,SAC,"October 24, 2016"
176,Lamar Patterson,SAC,"October 24, 2016"
177,Ray McCallum,DET,"October 24, 2016"
178,Matt Costello,MEM,"October 24, 2016"
179,Edy Tavares,ATL,"October 31, 2016"
180,Lance Stephenson,NOP,"November 7, 2016"
181,Jordan Farmar,SAC,"November 7, 2016"
182,Greivis VÃ¡squez,BRK,"November 9, 2016"
183,Jarnell Stokes,DEN,"November 15, 2016"
184,Quincy Acy,DAL,"November 18, 2016"
185,Archie Goodwin,NOP,"November 20, 2016"
186,Bobby Brown,HOU,"December 5, 2016"
187,Yogi Ferrell,BRK,"December 8, 2016"
188,Anthony Brown,NOP,"December 9, 2016"
189,Toney Douglas,MEM,"December 15, 2016"
190,Jonathan Gibson,DAL,"December 27, 2016"
191,NicolÃ¡s LaprovÃ­ttola,SAS,"December 27, 2016"
192,R.J. Hunter,CHI,"December 29, 2016"
193,Reggie Williams,NOP,"January 1, 2017"
194,Aaron Harrison,CHO,"January 3, 2017"
195,Hollis Thompson,PHI,"January 4, 2017"
196,Alonzo Gee,DEN,"January 6, 2017"
197,Ryan Kelly,ATL,"January 6, 2017"
198,Arinze Onuaku,ORL,"January 6, 2017"
199,John Jenkins,PHO,"January 6, 2017"
200,Pierre Jackson,DAL,"January 6, 2017"
201,John Lucas III,MIN,"January 7, 2017"
202,Anthony Bennett,BRK,"January 9, 2017"
203,Mo Williams,DEN,"January 18, 2017"
204,Mo Williams,PHI,"January 20, 2017"
205,Mo Williams,DEN,"January 24, 2017"
206,Pierre Jackson,DAL,"January 27, 2017"
207,Troy Williams,MEM,"January 30, 2017"
208,Steve Novak,MIL,"February 2, 2017"
209,Anderson VarejÃ£o,GSW,"February 3, 2017"
210,Derrick Williams,MIA,"February 6, 2017"
211,Chris Andersen,CHO,"February 13, 2017"
212,Matt Barnes,SAC,"February 20, 2017"
213,Terrence Jones,NOP,"February 23, 2017"
214,Deron Williams,DAL,"February 23, 2017"
215,Marcus Thornton,BRK,"February 23, 2017"
216,Chasson Randle,PHI,"February 23, 2017"
217,Jared Sullinger,PHO,"February 24, 2017"
218,Mike Scott,PHO,"February 24, 2017"
219,Omri Casspi,NOP,"February 25, 2017"
220,Marcelo Huertas,HOU,"February 25, 2017"
221,Lamar Patterson,ATL,"February 26, 2017"
222,Andrew Bogut,PHI,"February 27, 2017"
223,JosÃ© CalderÃ³n,LAL,"February 27, 2017"
224,Brandon Jennings,NYK,"February 27, 2017"
225,Luis Scola,BRK,"February 27, 2017"
226,Jordan McRae,CLE,"March 1, 2017"
227,Danuel House,WAS,"March 1, 2017"
228,JosÃ© CalderÃ³n,GSW,"March 2, 2017"
229,Andrew Bogut,CLE,"March 13, 2017"
230,Toney Douglas,MEM,"March 18, 2017"
231,Rodney Stuckey,IND,"March 29, 2017"
232,Terrence Jones,MIL,"April 1, 2017"
233,Archie Goodwin,BRK,"April 2, 2017"
234,Cliff Alexander,BRK,"April 3, 2017"
235,C.J. Wilcox,ORL,"April 3, 2017"
236,Prince Ibeh,BRK,"April 4, 2017"
237,DeAndre Liggins,CLE,"April 9, 2017"
238,Larry Sanders,CLE,"April 12, 2017"
239,Anthony Tolliver,SAC,"June 1, 2017"
240,Nikola PekoviÄ,MIN,"June 20, 2017"
241,Arron Afflalo,SAC,"June 23, 2017"
242,Jordan Hill,MIN,"June 26, 2017"
243,Paul Pierce,LAC,"June 28, 2017"
244,Darrun Hilliard,LAC,"June 29, 2017"
245,Maurice Ndour,NYK,"June 30, 2017"
246,Gerald Henderson,PHI,"June 30, 2017"
247,Mike Dunleavy,ATL,"June 30, 2017"
248,Rajon Rondo,CHI,"June 30, 2017"
249,Isaiah Canaan,CHI,"June 30, 2017"
250,Festus Ezeli,POR,"June 30, 2017"
