,player,team_from,date
59,Terry Larrier,LAC,"October 11, 2019"
60,James Palmer Jr.,LAC,"October 11, 2019"
61,Trevon Bluiett,UTA,"October 12, 2019"
62,Yudai Baba,DAL,"October 12, 2019"
63,Joe Chealey,CHO,"October 13, 2019"
64,Josh Perkins,CHO,"October 13, 2019"
65,Dedric Lawson,SAS,"October 14, 2019"
66,Matt Mooney,MEM,"October 14, 2019"
67,Jordan Murphy,MIN,"October 14, 2019"
68,Lindell Wigginton,MIN,"October 14, 2019"
69,Jaylen Adams,MIL,"October 14, 2019"
70,Luke Maye,MIL,"October 14, 2019"
71,Deng Adel,BRK,"October 14, 2019"
72,John Egbunu,BRK,"October 14, 2019"
73,Dusty Hannahs,MEM,"October 15, 2019"
74,David Stockton,LAL,"October 15, 2019"
75,Daniel Hamilton,CLE,"October 15, 2019"
76,Sindarius Thornwell,CLE,"October 15, 2019"
77,J.P. Macura,CLE,"October 15, 2019"
78,Timoth̩ Luwawu-Cabarrot,CLE,"October 15, 2019"
79,Jeremiah Martin,MIA,"October 15, 2019"
80,Mychal Mulder,MIA,"October 15, 2019"
81,Aric Holman,DAL,"October 15, 2019"
82,Dakota Mathias,DAL,"October 15, 2019"
83,David Kramer,PHO,"October 15, 2019"
84,Norense Odiase,PHO,"October 15, 2019"
85,Tariq Owens,PHO,"October 15, 2019"
86,Ahmad Caver,MEM,"October 16, 2019"
87,Sagaba Konate,TOR,"October 16, 2019"
88,Justin Anderson,WAS,"October 16, 2019"
89,Jemerrio Jones,WAS,"October 16, 2019"
90,Phil Booth,WAS,"October 16, 2019"
91,Amir Hinton,NYK,"October 16, 2019"
92,Tyler Cook,DEN,"October 16, 2019"
93,Walt Lemon Jr.,IND,"October 16, 2019"
94,Amida Brimah,IND,"October 16, 2019"
95,C.J. Wilcox,IND,"October 16, 2019"
96,Perrion Callandret,CHI,"October 17, 2019"
97,Kyle Collinsworth,UTA,"October 17, 2019"
98,Juwan Morgan,UTA,"October 17, 2019"
99,Reggie Hearn,LAL,"October 17, 2019"
100,Todd Withers,DET,"October 17, 2019"
101,Jarrod Uthoff,MEM,"October 17, 2019"
102,Dikembe Dixson,WAS,"October 17, 2019"
103,Galen Robinson Jr.,SAS,"October 17, 2019"
104,Kenny Williams,SAS,"October 17, 2019"
105,Jaron Blossomgame,HOU,"October 17, 2019"
106,Michael Frazier,HOU,"October 17, 2019"
107,DeVaughn Akoon-Purcell,OKC,"October 17, 2019"
108,Abdul Gaddy,OKC,"October 17, 2019"
109,Myke Henry,OKC,"October 17, 2019"
110,Eric Moreland,OKC,"October 17, 2019"
111,Armoni Brooks,ATL,"October 18, 2019"
112,Marcus Derrickson,ATL,"October 18, 2019"
113,Tahjere McCall,ATL,"October 18, 2019"
114,Jordan Sibert,ATL,"October 18, 2019"
115,Shaq Buchanan,MEM,"October 18, 2019"
116,Zak Irvin,NYK,"October 18, 2019"
117,Troy Caupain,POR,"October 18, 2019"
118,London Perrantes,POR,"October 18, 2019"
119,Keljin Blevins,POR,"October 18, 2019"
120,Craig Sword,DET,"October 18, 2019"
121,Tyler Zeller,DEN,"October 18, 2019"
122,Kaiser Gates,BOS,"October 18, 2019"
123,BJ Taylor,LAC,"October 18, 2019"
124,Isaac Haas,UTA,"October 18, 2019"
125,Mike Scott,UTA,"October 18, 2019"
126,Lance Thomas,BRK,"October 18, 2019"
127,Devin Cannady,BRK,"October 18, 2019"
128,C.J. Massinburg,BRK,"October 18, 2019"
129,Matt Morgan,TOR,"October 18, 2019"
130,Isaiah Miles,PHI,"October 18, 2019"
131,Christ Koumadje,PHI,"October 18, 2019"
132,Haywood Highsmith,PHI,"October 18, 2019"
133,Kyle Alexander,MIA,"October 19, 2019"
134,Skyler Flatten,MIA,"October 19, 2019"
135,Davon Reed,MIA,"October 19, 2019"
136,Bubu Palo,MIA,"October 19, 2019"
137,Ahmed Hill,CHO,"October 19, 2019"
138,Alfonzo McKinnie,GSW,"October 19, 2019"
139,Julian Washburn,PHI,"October 19, 2019"
140,Xavier Munford,PHI,"October 19, 2019"
141,Shizz Alston Jr.,PHI,"October 19, 2019"
142,Terry Harris,PHI,"October 19, 2019"
143,Jared Brownridge,PHI,"October 19, 2019"
144,Vince Edwards,OKC,"October 19, 2019"
145,Kadeem Jack,OKC,"October 19, 2019"
146,Sedrick Barefield,OKC,"October 19, 2019"
147,Rayjon Tucker,MIL,"October 19, 2019"
148,Trevor Lacey,MIL,"October 19, 2019"
149,Jemerrio Jones,MIL,"October 19, 2019"
150,Milton Doyle,CHI,"October 19, 2019"
151,Justin Simon,CHI,"October 19, 2019"
152,Simisola Shittu,CHI,"October 19, 2019"
153,Jarell Martin,CLE,"October 19, 2019"
154,Marques Bolden,CLE,"October 19, 2019"
155,Yante Maten,BOS,"October 19, 2019"
156,Max Strus,BOS,"October 19, 2019"
157,Donte Grantham,LAC,"October 19, 2019"
158,Bennie Boatwright,MEM,"October 19, 2019"
159,Ivan Rabb,MEM,"October 19, 2019"
160,Miles Plumlee,MEM,"October 19, 2019"
161,Kenny Gabriel,ATL,"October 19, 2019"
162,Mark Ogden Jr.,ATL,"October 19, 2019"
163,Lamar Peters,NYK,"October 19, 2019"
164,V.J. King,NYK,"October 19, 2019"
165,Kenny Wooten,NYK,"October 19, 2019"
166,Marcus Allen,LAL,"October 19, 2019"
167,DaQuan Jeffries,ORL,"October 19, 2019"
168,Jon Davis,ORL,"October 19, 2019"
169,B.J. Johnson,ORL,"October 19, 2019"
170,Vic Law,ORL,"October 19, 2019"
171,Isaac Humphries,ORL,"October 19, 2019"
172,Chad Brown,DAL,"October 19, 2019"
173,C.J. Williams,BRK,"October 19, 2019"
174,Stephan Hicks,IND,"October 19, 2019"
175,Jalen Adams,NOP,"October 19, 2019"
176,Javon Bess,NOP,"October 19, 2019"
177,Kavell Bigby-Williams,NOP,"October 19, 2019"
178,Cameron Payne,TOR,"October 19, 2019"
179,Devin Robinson,TOR,"October 19, 2019"
180,Ray Spalding,HOU,"October 19, 2019"
181,Matur Maker,HOU,"October 19, 2019"
182,Shamorie Ponds,HOU,"October 19, 2019"
183,Daulton Hommes,SAS,"October 19, 2019"
184,Jared Cunningham,GSW,"October 19, 2019"
185,Nick Zeisloft,GSW,"October 19, 2019"
186,Anzejs Pasecniks,WAS,"October 19, 2019"
187,Jalen Jones,WAS,"October 19, 2019"
188,Andrew Harrison,GSW,"October 19, 2019"
189,Juan Toscano-Anderson,GSW,"October 19, 2019"
190,Kavion Pippen,GSW,"October 19, 2019"
191,Tyler Ennis,TOR,"October 20, 2019"
192,Justin Bibbs,BOS,"October 20, 2019"
193,Dorian Pickens,BOS,"October 20, 2019"
194,Aubrey Dawkins,NOP,"October 20, 2019"
195,Aaron Epps,PHO,"October 20, 2019"
196,Troy Williams,PHO,"October 20, 2019"
197,Anthony Lawrence,UTA,"October 20, 2019"
198,Hollis Thompson,SAC,"October 20, 2019"
199,Tyler Ulis,SAC,"October 20, 2019"
200,Dakarai Allen,DET,"October 20, 2019"
201,Tra-Deon Hollins,DET,"October 20, 2019"
202,Donta Hall,DET,"October 20, 2019"
203,Tre'Shawn Thurman,DET,"October 20, 2019"
204,Tyus Battle,MIN,"October 20, 2019"
205,Barry Brown,MIN,"October 20, 2019"
206,William Howard,UTA,"October 21, 2019"
207,Devontae Cacok,LAL,"October 21, 2019"
208,Demetrius Jackson,LAL,"October 21, 2019"
209,Joe Johnson,DET,"October 21, 2019"
210,Tyrone Wallace,MIN,"October 21, 2019"
211,Ronshad Shabazz,HOU,"October 21, 2019"
212,Tyler Lydon,SAC,"October 21, 2019"
213,Isaiah Taylor,TOR,"October 22, 2019"
214,Ryan Anderson,HOU,"November 18, 2019"
215,Pau Gasol,POR,"November 20, 2019"
216,Stanton Kidd,UTA,"November 21, 2019"
217,Zach Norvell Jr.,LAL,"December 11, 2019"
218,Devon Hall,OKC,"December 12, 2019"
219,Iman Shumpert,BRK,"December 12, 2019"
220,Tyrone Wallace,ATL,"December 14, 2019"
221,Chris Chiozza,WAS,"December 17, 2019"
222,Jeff Green,UTA,"December 24, 2019"
223,David Nwaba,BRK,"January 3, 2020"
224,Henry Ellenson,BRK,"January 3, 2020"
225,Justin Robinson,WAS,"January 5, 2020"
226,Johnathan Williams,WAS,"January 5, 2020"
227,Alfonzo McKinnie,CLE,"January 6, 2020"
228,Tyler Cook,CLE,"January 6, 2020"
229,Marquese Chriss,GSW,"January 7, 2020"
230,Gary Clark,HOU,"January 7, 2020"
231,Daryl Macon,MIA,"January 8, 2020"
232,Josh Magette,ORL,"January 11, 2020"
233,C.J. Miles,WAS,"January 12, 2020"
234,Levi Randolph,CLE,"January 12, 2020"
235,Ivan Rabb,NYK,"January 13, 2020"
236,Josh Magette,ORL,"January 14, 2020"
237,Paul Watson,ATL,"January 14, 2020"
238,Shamorie Ponds,TOR,"January 15, 2020"
239,Robert Franks,CHO,"January 15, 2020"
240,Timothe Luwawu-Cabarrot,BRK,"January 15, 2020"
241,Justin Patton,DAL,"January 25, 2020"
242,Chandler Parsons,ATL,"February 6, 2020"
243,Nene,ATL,"February 6, 2020"
244,Eric Mika,SAC,"February 6, 2020"
245,Amile Jefferson,ORL,"February 6, 2020"
246,Derrick Walton,ATL,"February 6, 2020"
247,Trey Burke,PHI,"February 6, 2020"
248,Tim Frazier,DET,"February 6, 2020"
249,Jonah Bolden,PHI,"February 7, 2020"
250,Gerald Green,DEN,"February 7, 2020"
251,Michael Kidd-Gilchrist,CHO,"February 8, 2020"
252,Marvin Williams,CHO,"February 8, 2020"
253,Isaiah Thomas,LAC,"February 9, 2020"
254,Dion Waiters,MEM,"February 9, 2020"
255,Tyler Johnson,PHO,"February 10, 2020"
256,Dragan Bender,MIL,"February 10, 2020"
257,Ryan Broekhoff,DAL,"February 11, 2020"
258,DeMarre Carroll,SAS,"February 18, 2020"
259,Reggie Jackson,DET,"February 18, 2020"
260,Markieff Morris,DET,"February 21, 2020"
261,DeMarcus Cousins,LAL,"February 24, 2020"
262,Dusty Hannahs,MEM,"February 27, 2020"
263,Anthony Tolliver,SAC,"February 29, 2020"
264,Allen Crabbe,MIN,"February 29, 2020"
265,Troy Daniels,LAL,"March 2, 2020"
266,Jordan McRae,DEN,"March 2, 2020"
267,Jordan Bell,MEM,"March 2, 2020"
268,Jared Harper,PHO,"June 23, 2020"
269,Isaiah Hartenstein,HOU,"June 23, 2020"
270,Theo Pinson,BRK,"June 24, 2020"
271,Kadeem Allen,NYK,"June 25, 2020"
272,Allonzo Trier,NYK,"June 26, 2020"
273,Omer Yurtseven,OKC,"December 9, 2020"
