,player,team_from,date
64,Rodney Carney,MIA,"October 26, 2012"
65,Josh Powell,SAS,"October 26, 2012"
66,Jarvis Varnado,MIA,"October 26, 2012"
67,Shavlik Randolph,WAS,"October 27, 2012"
68,Jamaal Magloire,TOR,"October 27, 2012"
69,Coby Karl,POR,"October 27, 2012"
70,Adam Morrison,POR,"October 27, 2012"
71,Quentin Richardson,ORL,"October 27, 2012"
72,Andy Rautins,OKC,"October 27, 2012"
73,Daniel Orton,OKC,"October 27, 2012"
74,Mychel Thompson,NYK,"October 27, 2012"
75,Solomon Alabi,NOH,"October 27, 2012"
76,Eddie Gill,MIL,"October 27, 2012"
77,Orien Greene,MIL,"October 27, 2012"
78,Alando Tucker,MIL,"October 27, 2012"
79,Garrett Temple,MIA,"October 27, 2012"
80,Ronald Dupree,MEM,"October 27, 2012"
81,Ronald Murray,MEM,"October 27, 2012"
82,Jerome Jordan,MEM,"October 27, 2012"
83,Andrew Goudelock,LAL,"October 27, 2012"
84,James Anderson,ATL,"October 27, 2012"
85,Damion James,ATL,"October 27, 2012"
86,Shelvin Mack,WAS,"October 28, 2012"
87,Brian Cook,WAS,"October 28, 2012"
88,Mike Harris,MIN,"October 28, 2012"
89,Chris Johnson,MIN,"October 28, 2012"
90,DaJuan Summers,CHA,"October 28, 2012"
91,Chris Douglas-Roberts,DAL,"October 28, 2012"
92,Melvin Ely,DAL,"October 28, 2012"
93,Shaun Livingston,HOU,"October 29, 2012"
94,Lazar Hayward,HOU,"October 29, 2012"
95,Gary Forbes,HOU,"October 29, 2012"
96,Jon Brockman,HOU,"October 29, 2012"
97,JaJuan Johnson,HOU,"October 29, 2012"
98,Delonte West,DAL,"October 29, 2012"
99,Travis Leslie,LAC,"October 30, 2012"
100,Eddy Curry,DAL,"November 2, 2012"
101,Will Conroy,MIN,"November 15, 2012"
102,Jannero Pargo,WAS,"November 15, 2012"
103,Matt Carroll,NOH,"November 20, 2012"
104,Darko MiliÄiÄ,BOS,"November 21, 2012"
105,Luke Harangody,CLE,"November 29, 2012"
106,Troy Murphy,DAL,"November 29, 2012"
107,Dominic McGuire,TOR,"November 30, 2012"
108,Cory Higgins,CHA,"December 9, 2012"
109,James Anderson,SAS,"December 20, 2012"
110,Josh Howard,MIN,"December 20, 2012"
111,Shaun Livingston,WAS,"December 22, 2012"
112,Earl Barron,WAS,"December 22, 2012"
113,Derek Fisher,DAL,"December 22, 2012"
114,Donald Sloan,CLE,"December 25, 2012"
115,Josh Childress,BRK,"December 30, 2012"
116,Daequan Cook,HOU,"January 2, 2013"
117,Dominic McGuire,NOH,"January 4, 2013"
118,Terrel Harris,MIA,"January 5, 2013"
119,Lazar Hayward,MIN,"January 6, 2013"
120,Kris Joseph,BOS,"January 6, 2013"
121,Jarvis Varnado,BOS,"January 6, 2013"
122,Maalik Wayns,PHI,"January 6, 2013"
123,Sam Young,IND,"January 6, 2013"
124,Chris Douglas-Roberts,DAL,"January 6, 2013"
125,Samardo Samuels,CLE,"January 6, 2013"
126,Shelvin Mack,WAS,"January 7, 2013"
127,Scott Machado,HOU,"January 7, 2013"
128,Darius Johnson-Odom,LAL,"January 7, 2013"
129,Josh Harrellson,MIA,"January 7, 2013"
130,Jeremy Pargo,CLE,"January 22, 2013"
131,Lou Amundson,MIN,"February 8, 2013"
132,Ronnie Price,POR,"February 21, 2013"
133,Luke Zeller,PHO,"February 21, 2013"
134,Hakim Warrick,ORL,"February 23, 2013"
135,Aaron Brooks,SAC,"March 1, 2013"
136,Josh Selby,CLE,"March 3, 2013"
137,Tyler Honeycutt,HOU,"March 5, 2013"
138,Jeremy Tyler,ATL,"March 6, 2013"
139,Dominique Jones,DAL,"March 9, 2013"
140,Raja Bell,UTA,"March 10, 2013"
141,Henry Sims,NOH,"March 12, 2013"
142,Trey Thompkins,LAC,"March 14, 2013"
143,Jeremy Pargo,PHI,"April 1, 2013"
144,Stephen Jackson,SAS,"April 12, 2013"
145,Kurt Thomas,NYK,"April 12, 2013"
146,Dexter Pittman,MEM,"April 14, 2013"
147,Solomon Jones,NYK,"April 15, 2013"
148,Rasheed Wallace,NYK,"April 17, 2013"
149,Jared Jeffries,POR,"April 18, 2013"
150,Brandon Roy,MIN,"May 10, 2013"
151,Chris Duhon,LAL,"June 29, 2013"
152,Hamed Haddadi,PHO,"June 29, 2013"
153,Terrence Williams,BOS,"June 30, 2013"
154,Aaron Brooks,HOU,"June 30, 2013"
155,Carlos Delfino,HOU,"June 30, 2013"
156,James White,NYK,"June 30, 2013"
