,player,team_from,date
111,John Petrucelli,ORL,"October 12, 2018"
112,Dez Wells,OKC,"October 12, 2018"
113,Donte Grantham,OKC,"October 12, 2018"
114,Scotty Hopson,OKC,"October 12, 2018"
115,Abdul Gaddy,OKC,"October 12, 2018"
116,Brandon McCoy,NOP,"October 12, 2018"
117,Darius Morris,NOP,"October 12, 2018"
118,Alessandro Gentile,HOU,"October 12, 2018"
119,Johnny Hamilton,DET,"October 12, 2018"
120,Xavier Silas,DEN,"October 12, 2018"
121,Donald Sloan,DEN,"October 12, 2018"
122,Mitch Creek,BRK,"October 12, 2018"
123,Deng Adel,TOR,"October 13, 2018"
124,Kyle Collinsworth,TOR,"October 13, 2018"
125,Kay Felder,TOR,"October 13, 2018"
126,Eric Moreland,TOR,"October 13, 2018"
127,Jamel Artis,LAC,"October 13, 2018"
128,Malcolm Miller,TOR,"October 13, 2018"
129,Tahjere McCall,BRK,"October 13, 2018"
130,Shannon Scott,BRK,"October 13, 2018"
131,Drew Gordon,BRK,"October 13, 2018"
132,Thomas Robinson,ATL,"October 13, 2018"
133,R.J. Hunter,ATL,"October 13, 2018"
134,C.J. Anderson,ATL,"October 13, 2018"
135,Marcus Georges-Hunt,BOS,"October 13, 2018"
136,Zach Smith,CHO,"October 13, 2018"
137,Antonius Cleveland,CHI,"October 13, 2018"
138,Kaiser Gates,CHI,"October 13, 2018"
139,JaKarr Sampson,CHI,"October 13, 2018"
140,Derrick Walton,CHI,"October 13, 2018"
141,Emanuel Terry,CLE,"October 13, 2018"
142,Isaiah Taylor,CLE,"October 13, 2018"
143,Kobi Simmons,CLE,"October 13, 2018"
144,Bonzie Colson,CLE,"October 13, 2018"
145,Bruno Caboclo,HOU,"October 13, 2018"
146,Ãngel RodrÃ­guez,HOU,"October 13, 2018"
147,Brandon Sampson,HOU,"October 13, 2018"
148,Scott Machado,LAL,"October 13, 2018"
149,Johnathan Williams,LAL,"October 13, 2018"
150,Doral Moore,MEM,"October 13, 2018"
151,Brandon Goodwin,MEM,"October 13, 2018"
152,Markel Crawford,MEM,"October 13, 2018"
153,Briante Weber,MIA,"October 13, 2018"
154,Jarnell Stokes,MIA,"October 13, 2018"
155,Raphiael Putney,MIA,"October 13, 2018"
156,Rodney Purvis,MIA,"October 13, 2018"
157,Tyler Zeller,MIL,"October 13, 2018"
158,Darius Johnson-Odom,MIN,"October 13, 2018"
159,Jonathan Stark,MIN,"October 13, 2018"
160,Jarrett Jack,NOP,"October 13, 2018"
161,Garlon Green,NOP,"October 13, 2018"
162,Jeff Coby,NYK,"October 13, 2018"
163,Kadeem Allen,NYK,"October 13, 2018"
164,Joakim Noah,NYK,"October 13, 2018"
165,Braian Angola,ORL,"October 13, 2018"
166,Cory Jefferson,PHI,"October 13, 2018"
167,Emeka Okafor,PHI,"October 13, 2018"
168,Gary Payton II,POR,"October 13, 2018"
169,Chinanu Onuaku,POR,"October 13, 2018"
170,Cameron Oliver,POR,"October 13, 2018"
171,Cameron Reynolds,SAC,"October 13, 2018"
172,Kalin Lucas,SAC,"October 13, 2018"
173,Nick Johnson,SAS,"October 13, 2018"
174,Okaro White,SAS,"October 13, 2018"
175,Isaac Haas,UTA,"October 13, 2018"
176,Jairus Lyles,UTA,"October 13, 2018"
177,Isaiah Cousins,UTA,"October 13, 2018"
178,Chasson Randle,WAS,"October 13, 2018"
179,Tiwian Kendley,WAS,"October 13, 2018"
180,Chris Chiozza,WAS,"October 13, 2018"
181,Lavoy Allen,WAS,"October 13, 2018"
182,Darin Johnson,PHI,"October 13, 2018"
183,Tim Bond,HOU,"October 13, 2018"
184,William Lee,MIN,"October 13, 2018"
185,Canyon Barry,MIN,"October 13, 2018"
186,Demetrius Denzel-Dyson,IND,"October 13, 2018"
187,Steph Branch,UTA,"October 13, 2018"
188,Oleksandr Kobets,WAS,"October 13, 2018"
189,Ding Yanyuhang,DAL,"October 14, 2018"
190,Reggie Hearn,DET,"October 15, 2018"
191,Alexis AjinÃ§a,LAC,"October 15, 2018"
192,Jawun Evans,LAC,"October 15, 2018"
193,Tim Frazier,MIL,"October 15, 2018"
194,Darrell Arthur,PHO,"October 15, 2018"
195,Shaquille Harrison,PHO,"October 15, 2018"
196,Manu GinÃ³bili,SAS,"October 15, 2018"
197,Davon Reed,PHO,"October 16, 2018"
198,Troy Williams,NOP,"October 17, 2018"
199,Jaron Blossomgame,SAS,"October 18, 2018"
200,C.J. Wilcox,IND,"October 19, 2018"
201,Travis Wear,LAL,"October 19, 2018"
202,Ãmer AÅÄ±k,CHI,"October 21, 2018"
203,Andrew Harrison,MEM,"November 1, 2018"
204,Ben Moore,IND,"November 3, 2018"
205,Tyson Chandler,PHO,"November 4, 2018"
206,John Holland,CLE,"November 9, 2018"
207,Chasson Randle,WAS,"November 12, 2018"
208,Jodie Meeks,MIL,"November 25, 2018"
209,Isaiah Canaan,PHO,"November 28, 2018"
210,Walt Lemon Jr.,BOS,"November 29, 2018"
211,Andrew Harrison,CLE,"December 2, 2018"
212,Billy Preston,CLE,"December 2, 2018"
213,Danuel House,HOU,"December 4, 2018"
214,Brandon Goodwin,DEN,"December 10, 2018"
215,Ron Baker,NYK,"December 13, 2018"
216,DeVaughn Akoon-Purcell,DEN,"December 16, 2018"
217,Zhou Qi,HOU,"December 17, 2018"
218,Austin Rivers,PHO,"December 18, 2018"
219,Okaro White,WAS,"December 20, 2018"
220,Tyler Davis,OKC,"December 27, 2018"
221,Tyler Ulis,CHI,"December 27, 2018"
222,Nick Young,DEN,"December 30, 2018"
223,D.J. Stephens,MEM,"December 30, 2018"
224,Alan Williams,BRK,"January 2, 2019"
225,Eric Moreland,PHO,"January 3, 2019"
226,Cameron Payne,CHI,"January 3, 2019"
227,Demetrius Jackson,PHI,"January 6, 2019"
228,James Nunnally,MIN,"January 7, 2019"
229,Patrick McCaw,CLE,"January 7, 2019"
230,Ron Baker,WAS,"January 7, 2019"
231,Lorenzo Brown,TOR,"January 7, 2019"
232,MarShon Brooks,CHI,"January 7, 2019"
233,Michael Carter-Williams,CHI,"January 7, 2019"
234,Andrew Harrison,NOP,"January 8, 2019"
235,Jaylen Morris,MIL,"January 14, 2019"
236,Jalen Jones,CLE,"January 15, 2019"
237,Jarnell Stokes,MEM,"January 15, 2019"
238,Zach Lofton,DET,"January 15, 2019"
239,Keenan Evans,DET,"January 15, 2019"
240,Kenneth Faried,BRK,"January 19, 2019"
241,Ray Spalding,DAL,"January 31, 2019"
242,Carmelo Anthony,CHI,"February 1, 2019"
243,Kobi Simmons,CLE,"February 4, 2019"
244,Salah Mejri,DAL,"February 7, 2019"
245,Enes Kanter,NYK,"February 7, 2019"
246,Marcin Gortat,LAC,"February 7, 2019"
247,MiloÅ¡ TeodosiÄ,LAC,"February 7, 2019"
248,Greg Monroe,BRK,"February 7, 2019"
249,Wesley Matthews,NYK,"February 7, 2019"
250,Wayne Ellington,PHO,"February 7, 2019"
251,Ben McLemore,SAC,"February 7, 2019"
252,Malachi Richardson,PHI,"February 7, 2019"
253,Ike Anigbogu,IND,"February 7, 2019"
254,Markieff Morris,NOP,"February 7, 2019"
255,Daniel Hamilton,ATL,"February 7, 2019"
256,Omri Casspi,MEM,"February 7, 2019"
257,Jabari Bird,ATL,"February 8, 2019"
258,Shelvin Mack,ATL,"February 8, 2019"
259,Nik Stauskas,IND,"February 8, 2019"
260,Wade Baldwin,IND,"February 8, 2019"
261,Zach Randolph,DAL,"February 8, 2019"
262,Michael Beasley,LAC,"February 9, 2019"
263,Ãlex Abrines,OKC,"February 9, 2019"
264,Henry Ellenson,DET,"February 9, 2019"
265,Jeremy Lin,ATL,"February 11, 2019"
266,Tim Frazier,NOP,"February 28, 2019"
267,Pau Gasol,SAS,"March 1, 2019"
268,Isaiah Canaan,MIL,"March 3, 2019"
269,Christian Wood,MIL,"March 18, 2019"
270,Jason Smith,NOP,"March 20, 2019"
271,Jawun Evans,PHO,"March 23, 2019"
272,Trevon Duval,MIL,"March 24, 2019"
273,Justin Patton,PHI,"April 3, 2019"
274,Isaiah Briscoe,ORL,"April 4, 2019"
275,Dusty Hannahs,MEM,"April 4, 2019"
276,Wesley Johnson,WAS,"April 5, 2019"
277,Rodney McGruder,MIA,"April 7, 2019"
278,Luc Mbah a Moute,LAC,"April 7, 2019"
279,Deyonta Davis,ATL,"June 10, 2019"
280,Haywood Highsmith,PHI,"June 24, 2019"
281,Cameron Reynolds,MIN,"June 28, 2019"
282,Lance Thomas,NYK,"June 29, 2019"
