,player,team_from,date
193,Tevian Jones,NOP,"October 21, 2023"
194,Trey Jemison,NOP,"October 21, 2023"
195,Malcolm Hill,NOP,"October 21, 2023"
196,Jalen Crutcher,NOP,"October 21, 2023"
197,Izaiah Brockington,NOP,"October 21, 2023"
198,Javonte Cooke,MIN,"October 21, 2023"
199,Brian Bowen II,MIN,"October 21, 2023"
200,Cheick Diallo,MIA,"October 21, 2023"
201,Justin Champagnie,MIA,"October 21, 2023"
202,David Johnson,MEM,"October 21, 2023"
203,Shaquille Harrison,MEM,"October 21, 2023"
204,Adonis Arms,MEM,"October 21, 2023"
205,Xavier Moon,LAC,"October 21, 2023"
206,Joey Hauser,LAC,"October 21, 2023"
207,Nate Hinton,HOU,"October 21, 2023"
208,Rodney McGruder,GSW,"October 21, 2023"
209,Rudy Gay,GSW,"October 21, 2023"
210,Ryan Turell,DET,"October 21, 2023"
211,Zavier Simpson,DET,"October 21, 2023"
212,Nate Roberts,DET,"October 21, 2023"
213,Jontay Porter,DET,"October 21, 2023"
214,David Nwaba,DET,"October 21, 2023"
215,Treveon Graham,DET,"October 21, 2023"
216,Tosan Evbuomwan,DET,"October 21, 2023"
217,Buddy Boeheim,DET,"October 21, 2023"
218,Zhaire Smith,CLE,"October 21, 2023"
219,Devontae Shuler,CLE,"October 21, 2023"
220,Justin Powell,CLE,"October 21, 2023"
221,Pete Nance,CLE,"October 21, 2023"
222,Aleem Ford,CLE,"October 21, 2023"
223,Rob Edwards,CLE,"October 21, 2023"
224,Sharife Cooper,CLE,"October 21, 2023"
225,Nathan Mensah,CHO,"October 21, 2023"
226,R.J. Hunter,CHO,"October 21, 2023"
227,Terrell Brown Jr.,CHO,"October 21, 2023"
228,Patrick Gardner,BRK,"October 21, 2023"
229,Kennedy Chandler,BRK,"October 21, 2023"
230,Omari Moore,TOR,"October 22, 2023"
231,Jack White,OKC,"October 22, 2023"
232,Jay Scrubb,BOS,"October 22, 2023"
233,Taj Gibson,WAS,"October 23, 2023"
234,Xavier Cooks,WAS,"October 23, 2023"
235,Keon Johnson,PHO,"October 23, 2023"
236,Montrezl Harrell,PHI,"October 23, 2023"
237,Jeremiah Robinson-Earl,HOU,"October 23, 2023"
238,Trevor Hudgins,HOU,"October 23, 2023"
239,Ibou Badji,POR,"October 23, 2023"
240,Darius Days,HOU,"October 23, 2023"
241,Edmond Sumner,CHO,"October 24, 2023"
242,Azuolas Tubelis,PHI,"October 25, 2023"
243,Danny Green,PHI,"November 1, 2023"
244,Kaiser Gates,NOP,"November 3, 2023"
245,Daniel Theis,IND,"November 15, 2023"
246,Jamaree Bouyea,POR,"November 22, 2023"
247,Filip Petrusev,SAC,"November 24, 2023"
248,Duane Washington Jr.,NYK,"November 27, 2023"
249,John Butler,WAS,"December 7, 2023"
250,Ron Harper,TOR,"December 8, 2023"
251,Nathan Knight,BOS,"December 12, 2023"
252,Dylan Windler,NYK,"December 13, 2023"
253,Sir'Jabari Rice,SAS,"December 14, 2023"
254,Theo Maledon,CHO,"December 14, 2023"
255,Justin Lewis,CHI,"December 15, 2023"
256,Kenny Lofton Jr.,MEM,"December 18, 2023"
257,Jaylen Martin,NYK,"December 22, 2023"
258,Miles Norris,ATL,"December 22, 2023"
259,Javonte Smart,PHI,"December 23, 2023"
260,Dexter Dennis,DAL,"December 28, 2023"
261,Charles Bediako,SAS,"December 29, 2023"
262,DaQuan Jeffries,NYK,"December 30, 2023"
263,Dmytro Skapintsev,NYK,"January 1, 2024"
264,Ish Wainright,POR,"January 6, 2024"
265,Skylar Mays,POR,"January 6, 2024"
266,Armoni Brooks,BRK,"January 6, 2024"
267,D'Moi Hodge,LAL,"January 6, 2024"
268,Alex Fudge,LAL,"January 6, 2024"
269,Juan Toscano-Anderson,SAC,"January 7, 2024"
270,Taj Gibson,NYK,"January 7, 2024"
271,Lindell Wigginton,MIL,"January 7, 2024"
272,Marques Bolden,MIL,"January 7, 2024"
273,Ryan Rollins,WAS,"January 8, 2024"
274,Josh Christopher,UTA,"January 8, 2024"
275,Bismack Biyombo,MEM,"January 10, 2024"
276,Christian Koloko,TOR,"January 17, 2024"
277,James Johnson,IND,"January 17, 2024"
278,Joe Harris,DET,"February 8, 2024"
279,Killian Hayes,DET,"February 8, 2024"
280,Danuel House,DET,"February 8, 2024"
281,Harry Giles,BRK,"February 8, 2024"
282,Spencer Dinwiddie,TOR,"February 8, 2024"
283,Victor Oladipo,MEM,"February 8, 2024"
284,Cory Joseph,IND,"February 8, 2024"
285,James Bouknight,CHO,"February 8, 2024"
286,Frank Ntilikina,CHO,"February 8, 2024"
287,Ish Smith,CHO,"February 8, 2024"
288,Furkan Korkmaz,IND,"February 8, 2024"
289,Thaddeus Young,BRK,"February 8, 2024"
290,Danilo Gallinari,DET,"February 8, 2024"
291,Robin Lopez,SAC,"February 8, 2024"
292,R.J. Hampton,MIA,"February 9, 2024"
293,Jordan Goodwin,BRK,"February 9, 2024"
294,Kevin Knox,UTA,"February 9, 2024"
295,Chimezie Metu,MEM,"February 9, 2024"
296,Ryan Arcidiacono,DET,"February 10, 2024"
297,Kyle Lowry,CHO,"February 11, 2024"
298,Delon Wright,WAS,"February 16, 2024"
299,Malcolm Cazalon,DET,"February 21, 2024"
300,Jacob Toppin,NYK,"February 21, 2024"
301,Aleksej Pokusevski,OKC,"February 23, 2024"
302,Jacob Gilyard,MEM,"February 24, 2024"
303,Mike Muscala,DET,"February 28, 2024"
304,Marcus Morris,SAS,"February 29, 2024"
305,Patty Mills,ATL,"February 29, 2024"
306,Kenny Lofton Jr.,PHI,"March 1, 2024"
307,Shake Milton,DET,"March 1, 2024"
308,Mamadi Diakite,SAS,"March 2, 2024"
309,Nate Mensah,CHO,"March 2, 2024"
310,Dylan Windler,LAL,"March 2, 2024"
311,Theo Maledon,PHO,"March 4, 2024"
312,Markquis Nowell,TOR,"March 4, 2024"
313,Dru Smith,MIA,"March 6, 2024"
314,Otto Porter Jr.,UTA,"March 11, 2024"
315,Taevion Kinsey,UTA,"March 12, 2024"
316,Terry Taylor,CHI,"April 4, 2024"
317,Isaiah Livers,WAS,"April 5, 2024"
318,Joshua Primo,LAC,"April 13, 2024"
319,Jontay Porter,TOR,"April 17, 2024"
320,Mouhamadou Gueye,TOR,"June 24, 2024"
