,player,team_from,date
180,Phil Pressey,PHI,"December 4, 2015"
181,Ryan Hollins,WAS,"December 22, 2015"
182,Tony Wroten,PHI,"December 24, 2015"
183,Russ Smith,MEM,"December 29, 2015"
184,Christian Wood,PHI,"January 4, 2016"
185,Elijah Millsap,UTA,"January 5, 2016"
186,Kostas Papanikolaou,DEN,"January 7, 2016"
187,Bryce Cotton,PHO,"January 7, 2016"
188,Cory Jefferson,PHO,"January 7, 2016"
189,Ryan Hollins,MEM,"January 7, 2016"
190,Joe Harris,ORL,"January 12, 2016"
191,Jared Cunningham,ORL,"February 18, 2016"
192,JaKarr Sampson,PHI,"February 18, 2016"
193,Anderson Varej̣o,POR,"February 18, 2016"
194,Tim Frazier,POR,"February 18, 2016"
195,Jarnell Stokes,NOP,"February 19, 2016"
196,J.J. Hickson,DEN,"February 19, 2016"
197,Steve Novak,DEN,"February 19, 2016"
198,David Lee,BOS,"February 19, 2016"
199,Andrea Bargnani,BRK,"February 20, 2016"
200,Chris Copeland,MIL,"February 21, 2016"
201,Jason Thompson,GSW,"February 22, 2016"
202,John Jenkins,DAL,"February 22, 2016"
203,DeJuan Blair,PHO,"February 22, 2016"
204,Chris Copeland,ORL,"February 25, 2016"
205,Andre Miller,MIN,"February 25, 2016"
206,Joe Johnson,BRK,"February 25, 2016"
207,Marcus Thornton,HOU,"February 26, 2016"
208,Kris Humphries,PHO,"February 28, 2016"
209,Beno Udrih,MIA,"February 29, 2016"
210,Ray McCallum,SAS,"February 29, 2016"
211,Anthony Bennett,TOR,"March 1, 2016"
212,Ty Lawson,HOU,"March 1, 2016"
213,Kevin Martin,MIN,"March 1, 2016"
214,James Ennis,MEM,"March 2, 2016"
215,Sonny Weems,PHO,"March 5, 2016"
216,Chase Budinger,IND,"March 5, 2016"
217,Christian Wood,PHI,"March 7, 2016"
218,Rasual Butler,SAS,"March 9, 2016"
219,Gary Neal,WAS,"March 9, 2016"
220,Mario Chalmers,MEM,"March 10, 2016"
221,Sonny Weems,PHI,"March 27, 2016"
222,Ryan Hollins,MEM,"April 7, 2016"
223,Tony Wroten,NYK,"June 22, 2016"
224,Damien Inglis,MIL,"June 29, 2016"
225,Johnny O'Bryant,MIL,"June 29, 2016"
226,Jarrett Jack,BRK,"June 30, 2016"
