,player,team_from,date
63,Diante Garrett,OKC,"October 25, 2013"
64,Rodney McGruder,OKC,"October 25, 2013"
65,Ike Diogu,NYK,"October 25, 2013"
66,C.J. Leslie,NYK,"October 25, 2013"
67,Josh Powell,NYK,"October 25, 2013"
68,Jeremy Tyler,NYK,"October 25, 2013"
69,Chris Douglas-Roberts,NYK,"October 25, 2013"
70,Seth Curry,GSW,"October 25, 2013"
71,Dewayne Dedmon,GSW,"October 25, 2013"
72,Joe Alexander,GSW,"October 25, 2013"
73,DeSagana Diop,CLE,"October 25, 2013"
74,Kenny Kadji,CLE,"October 25, 2013"
75,Jermaine Taylor,CLE,"October 25, 2013"
76,Elliot Williams,CLE,"October 25, 2013"
77,Eric Griffin,MIA,"October 26, 2013"
78,Justin Hamilton,MIA,"October 26, 2013"
79,Dexter Pittman,CHI,"October 26, 2013"
80,D.J. White,CHI,"October 26, 2013"
81,Mickey McConnell,DAL,"October 26, 2013"
82,Rodney Williams,PHI,"October 27, 2013"
83,Gani Lawal,PHI,"October 27, 2013"
84,Shannon Brown,WAS,"October 28, 2013"
85,Malcolm Lee,WAS,"October 28, 2013"
86,Kendall Marshall,WAS,"October 28, 2013"
87,Kwame Brown,PHI,"November 20, 2013"
88,James Southerland,CHA,"December 11, 2013"
89,Josh Childress,NOP,"December 13, 2013"
90,Mike James,CHI,"December 16, 2013"
91,Hilton Armstrong,GSW,"December 29, 2013"
92,Lou Amundson,NOP,"December 31, 2013"
93,Chris Smith,NYK,"December 31, 2013"
94,Solomon Jones,ORL,"January 4, 2014"
95,Seth Curry,MEM,"January 5, 2014"
96,Maalik Wayns,LAC,"January 5, 2014"
97,Hamady N'Diaye,SAC,"January 6, 2014"
98,Andrew Bynum,CHI,"January 7, 2014"
99,Shawne Williams,LAL,"January 7, 2014"
100,Ryan Gomes,BOS,"January 7, 2014"
101,Daniel Orton,PHI,"January 7, 2014"
102,Cartier Martin,ATL,"January 7, 2014"
103,Mike Harris,UTA,"January 7, 2014"
104,Stephen Jackson,LAC,"January 7, 2014"
105,Othyus Jeffers,SAS,"February 1, 2014"
106,Dewayne Dedmon,PHI,"February 3, 2014"
107,Orlando Johnson,IND,"February 20, 2014"
108,Earl Clark,PHI,"February 21, 2014"
109,Glen Davis,ORL,"February 21, 2014"
110,Antawn Jamison,ATL,"February 21, 2014"
111,Ronnie Brewer,HOU,"February 21, 2014"
112,Jared Cunningham,ATL,"February 22, 2014"
113,Roger Mason,SAC,"February 22, 2014"
114,Metta World Peace,NYK,"February 24, 2014"
115,Beno Udrih,NYK,"February 24, 2014"
116,Danny Granger,PHI,"February 26, 2014"
117,Caron Butler,MIL,"February 27, 2014"
118,Dexter Pittman,ATL,"February 27, 2014"
119,Jimmer Fredette,SAC,"February 27, 2014"
120,Ben Gordon,CHA,"March 2, 2014"
121,Viacheslav Kravtsov,PHO,"March 2, 2014"
122,Arinze Onuaku,CLE,"March 12, 2014"
123,Shane Edwards,CLE,"March 21, 2014"
124,Erik Murphy,CHI,"April 3, 2014"
125,A.J. Price,MIN,"April 3, 2014"
126,Andris BiedriÅÅ¡,UTA,"April 5, 2014"
127,Greg Smith,HOU,"April 10, 2014"
128,Tornike Shengelia,CHI,"April 14, 2014"
129,Greg Stiemsma,NOP,"April 14, 2014"
130,Dexter Pittman,HOU,"April 16, 2014"
131,Willie Green,LAC,"June 29, 2014"
132,James Anderson,PHI,"June 30, 2014"
133,Doron Lamb,ORL,"June 30, 2014"
134,Jameer Nelson,ORL,"June 30, 2014"
