Year,Team,Player,Salary,Percent_team_salary
2022.0,CHI,Javonte Green,1815677.0,0.011947995390254032
2022.0,CHI,Marko Simonovic,1563518.0,0.010288672410665115
2022.0,CHI,Ayo Dosunmu,1563518.0,0.010288672410665115
2022.0,CHI,Patrick Beverley,801614.0,0.005274991298982746
2022.0,CHI,Carlik Jones,612162.0,0.004028309415214649
2022.0,CHI,Malcolm Hill,508891.0,0.003348738416657679
2022.0,CHI,Kostas Antetokounmpo,172555.0,0.0011354917997888855
2022.0,CHI,Terry Taylor,140384.0,0.0009237917233436465
2022.0,CHI,Justin Lewis,102363.0,0.0006735959381170624
2023.0,CHI,Zach LaVine,40064220.0,0.24188923827985334
2023.0,CHI,DeMar DeRozan,28600000.0,0.17267357794071134
2023.0,CHI,Lonzo Ball,20465117.0,0.12355891522256211
2023.0,CHI,Nikola Vucevic,18518519.0,0.1118062564298267
2023.0,CHI,Coby White,11111111.0,0.06708375144288095
2023.0,CHI,Patrick Williams,9835881.0,0.059384502254162995
2023.0,CHI,Alex Caruso,9460000.0,0.057115106549619904
2023.0,CHI,Ayo Dosunmu,6481482.0,0.03913219186357754
2023.0,CHI,Jevon Carter,6190476.0,0.03737523217049311
2023.0,CHI,Andre Drummond,3360000.0,0.020286126639188464
2023.0,CHI,Dalen Terry,3350760.0,0.020230339790930696
2023.0,CHI,Torrey Craig,2528233.0,0.01526430202719505
2023.0,CHI,Terry Taylor,2019706.0,0.012194051098193088
2023.0,CHI,Julian Phillips,1600000.0,0.009660060304375459
2023.0,CHI,Adama Sanogo,559782.0,0.0033797049233149396
2023.0,CHI,Onuralp Bitim,500000.0,0.003018768845117331
2023.0,CHI,Henri Drell,389274.0,0.002350256446828408
2023.0,CHI,Javonte Green,261293.0,0.0015775663356944855
2023.0,CHI,Justin Lewis,173725.0,0.0010488712352360167
2023.0,CHI,Andrew Funk,160857.0,0.000971180200238077
2022.0,CHO,Gordon Hayward,30075000.0,0.2389293163824311
2022.0,CHO,Terry Rozier,21486316.0,0.17069695073838376
2022.0,CHO,Kelly Oubre,12600000.0,0.10010006272381153
2022.0,CHO,Reggie Jackson,10876844.0,0.08641053703469151
2022.0,CHO,Nicolas Batum,8856969.0,0.07036374225736938
2022.0,CHO,LaMelo Ball,8623920.0,0.06851229626389942
2022.0,CHO,Cody Martin,7000000.0,0.05561114595767307
2022.0,CHO,PJ Washington,5808435.0,0.0461448180815224
2022.0,CHO,James Bouknight,4362240.0,0.03465559504891425
2022.0,CHO,Mark Williams,3722040.0,0.029569558528613926
