,date,teams,players
38,"February 19, 2015","{'PHO', 'MIA', 'NOP'}","{'Zoran DragiÄ\x87', 'John Salmons', 'Danny Granger', 'Justin Hamilton', 'Goran DragiÄ\x87', 'Norris Cole', 'Shawne Williams'}"
39,"February 19, 2015","{'MIL', 'PHO', 'PHI'}","{'Brandon Knight', 'Michael Carter-Williams', 'Kendall Marshall', 'Miles Plumlee', 'Tyler Ennis'}"
40,"February 19, 2015","{'DET', 'OKC', 'UTA'}","{'Tibor PleiÃ\x9f', 'D.J. Augustin', 'Grant Jerrett', 'Steve Novak', 'Kendrick Perkins', 'Enes Kanter', 'Kyle Singler', 'Reggie Jackson'}"
41,"February 19, 2015","{'PHO', 'DET', 'BOS'}","{'Tayshaun Prince', 'Jonas Jerebko', 'Isaiah Thomas', 'Gigi Datome', 'Marcus Thornton'}"
42,"February 19, 2015","{'DEN', 'POR'}","{'Victor Claver', 'Arron Afflalo', 'Thomas Robinson', 'Alonzo Gee', 'Will Barton'}"
43,"February 19, 2015","{'NYK', 'HOU'}","{'Alexey Shved', 'Pablo Prigioni'}"
44,"February 19, 2015","{'PHI', 'HOU'}","{'Isaiah Canaan', 'K.J. McDaniels'}"
45,"February 19, 2015","{'WAS', 'SAC'}","{'Andre Miller', 'Ramon Sessions'}"
46,"February 19, 2015","{'DEN', 'PHI'}","{'Cenk Akyol', 'JaVale McGee', 'Chukwudiebere Maduabum'}"
47,"February 19, 2015","{'NOP', 'OKC'}","{'Ish Smith', 'Latavious Williams'}"
48,"June 11, 2015","{'MIL', 'DET'}","{'Caron Butler', 'Shawne Williams', 'Ersan Ä°lyasova'}"
49,"June 15, 2015","{'CHO', 'LAC'}","{'Spencer Hawes', 'Matt Barnes', 'Lance Stephenson'}"
50,"June 24, 2015","{'CHO', 'POR'}","{'Nicolas Batum', 'Gerald Henderson', 'Noah Vonleh'}"
51,"June 25, 2015","{'POR', 'BRK'}","{'Rondae Hollis-Jefferson', 'Steve Blake', 'Pat Connaughton', 'Mason Plumlee'}"
52,"June 25, 2015","{'WAS', 'NYK', 'ATL'}","{'Kelly Oubre Jr.', 'Tim Hardaway Jr.'}"
53,"June 25, 2015","{'PHO', 'MEM'}","{'Jon Leuer', 'Andrew Harrison'}"
54,"June 25, 2015","{'NOP', 'LAC'}",{'Branden Dawson'}
55,"June 25, 2015","{'POR', 'UTA'}",{'Dani DÃ\xadez'}
56,"June 25, 2015","{'CHO', 'BRK'}",{'Juan Pablo Vaulet'}
57,"June 25, 2015","{'MIN', 'CLE'}",{'Tyus Jones'}
58,"June 25, 2015","{'CHO', 'MEM'}","{'Matt Barnes', 'Luke Ridnour'}"
59,"June 25, 2015","{'CHO', 'OKC'}","{'Jeremy Lamb', 'Luke Ridnour'}"
60,"June 25, 2015","{'MEM', 'ORL'}","{'JÄ\x81nis Timma', 'Luke Ridnour'}"
61,"June 25, 2015","{'MIL', 'TOR'}","{'Greivis VÃ¡squez', 'Norman Powell'}"
62,"June 25, 2015","{'PHI', 'NYK'}",set()
63,"June 30, 2015","{'TOR', 'OKC'}","{'Tomislav ZubÄ\x8diÄ\x87', 'Luke Ridnour'}"
